Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;3_Merkmal_Code;3_Merkmal_Label;3_Auspraegung_Code;3_Auspraegung_Label;4_Merkmal_Code;4_Merkmal_Label;4_Auspraegung_Code;4_Auspraegung_Label;HES002__Schadholzeinschlag__1000_cbm
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;SCHNEE-DUFT;Schnee/Duft;HAGR01;Holzartengruppen;HLZ-FICH-UA;Fichte, Tanne, Douglasie und sonstiges Nadelholz;WLDEG2;Waldeigentumsarten;WLD-KRP;Körperschaftswald;72,9
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;SCHNEE-DUFT;Schnee/Duft;HAGR01;Holzartengruppen;HLZ-FICH-UA;Fichte, Tanne, Douglasie und sonstiges Nadelholz;WLDEG2;Waldeigentumsarten;WLD-PRIVAT;Privatwald;162,4
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;SCHNEE-DUFT;Schnee/Duft;HAGR01;Holzartengruppen;HLZ-FICH-UA;Fichte, Tanne, Douglasie und sonstiges Nadelholz;WLDEG2;Waldeigentumsarten;;Insgesamt;591,3
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;SCHNEE-DUFT;Schnee/Duft;HAGR01;Holzartengruppen;;Insgesamt;WLDEG2;Waldeigentumsarten;WLD-STAAT;Staatswald (Bundes- und Landeswald);384,1
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;SCHNEE-DUFT;Schnee/Duft;HAGR01;Holzartengruppen;;Insgesamt;WLDEG2;Waldeigentumsarten;WLD-KRP;Körperschaftswald;90,9
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;SCHNEE-DUFT;Schnee/Duft;HAGR01;Holzartengruppen;;Insgesamt;WLDEG2;Waldeigentumsarten;WLD-PRIVAT;Privatwald;295,3
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;SCHNEE-DUFT;Schnee/Duft;HAGR01;Holzartengruppen;;Insgesamt;WLDEG2;Waldeigentumsarten;;Insgesamt;770,3
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;INSEKT;Insekten;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;WLDEG2;Waldeigentumsarten;WLD-STAAT;Staatswald (Bundes- und Landeswald);7,6
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;INSEKT;Insekten;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;WLDEG2;Waldeigentumsarten;WLD-KRP;Körperschaftswald;5,8
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;INSEKT;Insekten;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;WLDEG2;Waldeigentumsarten;WLD-PRIVAT;Privatwald;3,3
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;INSEKT;Insekten;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;WLDEG2;Waldeigentumsarten;;Insgesamt;16,7
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;INSEKT;Insekten;HAGR01;Holzartengruppen;HLZ-BUCH-LAUB;Buche und sonstiges Laubholz;WLDEG2;Waldeigentumsarten;WLD-STAAT;Staatswald (Bundes- und Landeswald);13,8
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;INSEKT;Insekten;HAGR01;Holzartengruppen;HLZ-BUCH-LAUB;Buche und sonstiges Laubholz;WLDEG2;Waldeigentumsarten;WLD-KRP;Körperschaftswald;21,3
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;INSEKT;Insekten;HAGR01;Holzartengruppen;HLZ-BUCH-LAUB;Buche und sonstiges Laubholz;WLDEG2;Waldeigentumsarten;WLD-PRIVAT;Privatwald;9,0
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;INSEKT;Insekten;HAGR01;Holzartengruppen;HLZ-BUCH-LAUB;Buche und sonstiges Laubholz;WLDEG2;Waldeigentumsarten;;Insgesamt;44,1
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;INSEKT;Insekten;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;WLDEG2;Waldeigentumsarten;WLD-STAAT;Staatswald (Bundes- und Landeswald);38,0
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;INSEKT;Insekten;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;WLDEG2;Waldeigentumsarten;WLD-KRP;Körperschaftswald;27,4
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;INSEKT;Insekten;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;WLDEG2;Waldeigentumsarten;WLD-PRIVAT;Privatwald;23,5
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;INSEKT;Insekten;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;WLDEG2;Waldeigentumsarten;;Insgesamt;88,9
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;INSEKT;Insekten;HAGR01;Holzartengruppen;HLZ-FICH-UA;Fichte, Tanne, Douglasie und sonstiges Nadelholz;WLDEG2;Waldeigentumsarten;WLD-STAAT;Staatswald (Bundes- und Landeswald);2638,3
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;INSEKT;Insekten;HAGR01;Holzartengruppen;HLZ-FICH-UA;Fichte, Tanne, Douglasie und sonstiges Nadelholz;WLDEG2;Waldeigentumsarten;WLD-KRP;Körperschaftswald;1178,6
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;INSEKT;Insekten;HAGR01;Holzartengruppen;HLZ-FICH-UA;Fichte, Tanne, Douglasie und sonstiges Nadelholz;WLDEG2;Waldeigentumsarten;WLD-PRIVAT;Privatwald;1055,4
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;INSEKT;Insekten;HAGR01;Holzartengruppen;HLZ-FICH-UA;Fichte, Tanne, Douglasie und sonstiges Nadelholz;WLDEG2;Waldeigentumsarten;;Insgesamt;4872,3
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;INSEKT;Insekten;HAGR01;Holzartengruppen;;Insgesamt;WLDEG2;Waldeigentumsarten;WLD-STAAT;Staatswald (Bundes- und Landeswald);2697,7
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;INSEKT;Insekten;HAGR01;Holzartengruppen;;Insgesamt;WLDEG2;Waldeigentumsarten;WLD-KRP;Körperschaftswald;1233,1
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;INSEKT;Insekten;HAGR01;Holzartengruppen;;Insgesamt;WLDEG2;Waldeigentumsarten;WLD-PRIVAT;Privatwald;1091,2
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;INSEKT;Insekten;HAGR01;Holzartengruppen;;Insgesamt;WLDEG2;Waldeigentumsarten;;Insgesamt;5022,0
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;SONSTIGES;Sonstiges;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;WLDEG2;Waldeigentumsarten;WLD-STAAT;Staatswald (Bundes- und Landeswald);53,0
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;SONSTIGES;Sonstiges;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;WLDEG2;Waldeigentumsarten;WLD-KRP;Körperschaftswald;39,9
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;SONSTIGES;Sonstiges;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;WLDEG2;Waldeigentumsarten;WLD-PRIVAT;Privatwald;18,0
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;SONSTIGES;Sonstiges;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;WLDEG2;Waldeigentumsarten;;Insgesamt;110,8
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;SONSTIGES;Sonstiges;HAGR01;Holzartengruppen;HLZ-BUCH-LAUB;Buche und sonstiges Laubholz;WLDEG2;Waldeigentumsarten;WLD-STAAT;Staatswald (Bundes- und Landeswald);114,8
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;SONSTIGES;Sonstiges;HAGR01;Holzartengruppen;HLZ-BUCH-LAUB;Buche und sonstiges Laubholz;WLDEG2;Waldeigentumsarten;WLD-KRP;Körperschaftswald;97,6
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;SONSTIGES;Sonstiges;HAGR01;Holzartengruppen;HLZ-BUCH-LAUB;Buche und sonstiges Laubholz;WLDEG2;Waldeigentumsarten;WLD-PRIVAT;Privatwald;78,2
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;SONSTIGES;Sonstiges;HAGR01;Holzartengruppen;HLZ-BUCH-LAUB;Buche und sonstiges Laubholz;WLDEG2;Waldeigentumsarten;;Insgesamt;290,6
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;SONSTIGES;Sonstiges;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;WLDEG2;Waldeigentumsarten;WLD-STAAT;Staatswald (Bundes- und Landeswald);53,0
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;SONSTIGES;Sonstiges;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;WLDEG2;Waldeigentumsarten;WLD-KRP;Körperschaftswald;37,9
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;SONSTIGES;Sonstiges;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;WLDEG2;Waldeigentumsarten;WLD-PRIVAT;Privatwald;26,5
